,Average electricity cost assumption: 0.05 USD/kWh,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1379030400,2013-09-13T00:00:00,0.539668217731856,0.00811869277959857,0.148614646323993,4.73073159663745,0.071168460905961,1.30275598967612
1379116800,2013-09-14T00:00:00,0.570523042214628,0.00858286842032258,0.157111494345113,5.00120498805343,0.0752374245725477,1.37723935942926
1379203200,2013-09-15T00:00:00,0.602376912830724,0.00906207357059078,0.165883461194592,5.28043601787413,0.0794381369197987,1.45413442083179
1379289600,2013-09-16T00:00:00,0.600946194468928,0.00904055004474304,0.16548946781803,5.26789434071462,0.0792494616922174,1.45068067489285
1379376000,2013-09-17T00:00:00,0.617760392775506,0.00929350047966041,0.170119787063168,5.41528760307009,0.0814668252047031,1.49127005339573
1379462400,2013-09-18T00:00:00,0.62342032169104,0.00937864765436844,0.171678426809523,5.46490253994366,0.0822132253381937,1.50493308941227
1379548800,2013-09-19T00:00:00,0.549550285384302,0.00958368575865316,0.15376277158296,4.81735780167879,0.0840105893603536,1.34788445569623
1379635200,2013-09-20T00:00:00,0.480099271445454,0.00992448364602176,0.137191759335564,4.20855021349085,0.0869980236410268,1.20262296233556
1379721600,2013-09-21T00:00:00,0.40325173588614,0.0100778007431633,0.118443383538224,3.53490471677791,0.0883420013145694,1.03827470009607
1379808000,2013-09-22T00:00:00,0.32148070688838,0.0102540420851525,0.0985179844821726,2.81809987658354,0.0898869329184468,0.863608651970725
1379894400,2013-09-23T00:00:00,0.254591274591147,0.0107026564310281,0.0827801099339162,2.231747113066,0.0938194862743927,0.725650443680709
1379980800,2013-09-24T00:00:00,0.174533122885584,0.0109670185155539,0.0634413587517733,1.52995735521503,0.0961368843073452,0.556126950818045
1380067200,2013-09-25T00:00:00,0.103348614857143,0.0115013997893707,0.0467979433865079,0.905953957837714,0.100821270553624,0.410230771726129
1380153600,2013-09-26T00:00:00,0.105080205857143,0.011694104068864,0.0475820361167163,0.921133084543714,0.102510516267662,0.417104128599135
1380240000,2013-09-27T00:00:00,0.107613792,0.0119760603115296,0.0487292853666667,0.943342500672,0.104982144690868,0.4271609155242
1380326400,2013-09-28T00:00:00,0.110844093857143,0.0123355522423184,0.0501920188889385,0.971659326751714,0.108133450956163,0.439983237580435
1380412800,2013-09-29T00:00:00,0.112400807142857,0.0125087948337279,0.0508969241294643,0.985305475414286,0.109652095512458,0.446162436918884
1380499200,2013-09-30T00:00:00,0.112787823857143,0.0125518649219174,0.0510721716285218,0.988698063931714,0.110029647905528,0.447698656495622
1380585600,2013-10-01T00:00:00,0.115313634,0.0128329557936742,0.0521081650234127,1.010839315644,0.112493690487348,0.456780174595236
1380672000,2013-10-02T00:00:00,0.116801363571429,0.0129985213661119,0.0526717940734127,1.02388075306714,0.113945038295337,0.461720946847536
1380758400,2013-10-03T00:00:00,0.120320624571429,0.0133901708118262,0.0541507248081349,1.05473059499314,0.117378237336469,0.474685253668111
1380844800,2013-10-04T00:00:00,0.120510856285714,0.0134113412068203,0.0541331629369544,1.05639816620057,0.117563817018987,0.474531306305342
1380931200,2013-10-05T00:00:00,0.124505692714286,0.0138559162107684,0.0558159195680556,1.09141690233343,0.121460961503596,0.489282350933575
1381017600,2013-10-06T00:00:00,0.127871964,0.0142305398272532,0.057221891753373,1.120925636424,0.124744912125702,0.501607103110068
1381104000,2013-10-07T00:00:00,0.131240409428571,0.014605405398468,0.0586328681011905,1.15045342905086,0.12803098372297,0.513975721775036
1381190400,2013-10-08T00:00:00,0.133051947428571,0.0148070067726174,0.0594421894761905,1.16633337115886,0.129798221368764,0.521070232948286
1381276800,2013-10-09T00:00:00,0.136418637857143,0.0151816770344256,0.0609462895982143,1.19584577945571,0.133082580883775,0.534255174617947
1381363200,2013-10-10T00:00:00,0.140718065142857,0.0156601491663133,0.062867098547619,1.23353455904229,0.137276867591902,0.551092985868429
1381449600,2013-10-11T00:00:00,0.145977849,0.0162454968947787,0.0652169556875,1.279641824334,0.14240802577963,0.571691833556625
1381536000,2013-10-12T00:00:00,0.151036439142857,0.0168084542956495,0.0674769276726191,1.32398542552629,0.147342910355663,0.591502747978179
1381622400,2013-10-13T00:00:00,0.158236229571429,0.0176097003329877,0.0706935007113095,1.38709878842314,0.15436663311897,0.619699227235339
1381708800,2013-10-14T00:00:00,0.169607945571429,0.0188752291665185,0.0757739201279762,1.48678325087914,0.165460258873701,0.664234183841839
1381795200,2013-10-15T00:00:00,0.181463564571429,0.0201946103121482,0.0810705276904762,1.59070960703314,0.177025953996291,0.710664245734714
1381881600,2013-10-16T00:00:00,0.189696957428571,0.0211108832878804,0.0847488721845238,1.66288352881886,0.185058002901559,0.742908613569536
1381968000,2013-10-17T00:00:00,0.19504593,0.021706156597459,0.0871385752083333,1.70977262238,0.190276168733326,0.76385675027625
1382054400,2013-10-18T00:00:00,0.205519624714286,0.02287174696698,0.0918177953005952,1.80158503024543,0.200493733912547,0.804874793605018
1382140800,2013-10-19T00:00:00,0.217789605,0.0242372413073615,0.0972995226041667,1.90914367743,0.212463657300331,0.852927615148125
1382227200,2013-10-20T00:00:00,0.225105981428571,0.0250514618988116,0.100568181517857,1.97327903320286,0.219601115004982,0.881580679185536
1382313600,2013-10-21T00:00:00,0.230967451285714,0.0257037697045188,0.103186847449405,2.02466067797057,0.225319245229812,0.904535904741482
1382400000,2013-10-22T00:00:00,0.241437092142857,0.0268689089307734,0.107864256443452,2.11643754972429,0.235532855687159,0.945538071983304
1382486400,2013-10-23T00:00:00,0.249486573857143,0.0277647149115424,0.111460436931548,2.18699930643171,0.243385490914581,0.977062190141947
1382572800,2013-10-24T00:00:00,0.257700121714286,0.0286787793886011,0.115129915488095,2.25899926694743,0.251398180120477,1.00922883916864
1382659200,2013-10-25T00:00:00,0.265058092285714,0.0294976288845271,0.118417156970238,2.32349923697657,0.258576214801765,1.03804479800111
1382745600,2013-10-26T00:00:00,0.270719409857143,0.0301276622605292,0.120946403014881,2.37312634680771,0.264099087375799,1.06021616882845
1382832000,2013-10-27T00:00:00,0.281391465857143,0.031315327744002,0.125714242848214,2.46667758970371,0.274510163003922,1.10201105280745
1382918400,2013-10-28T00:00:00,0.289010714142857,0.032163254160332,0.129118212568452,2.53346792017629,0.28194308596947,1.13185025137505
1383004800,2013-10-29T00:00:00,0.287064205714286,0.0319466322766103,0.128248591904762,2.51640482729143,0.280044178536766,1.12422715663714
1383091200,2013-10-30T00:00:00,0.297969400285714,0.0331602431481275,0.133120588553571,2.61199976290457,0.290682691436486,1.16693507926061
1383177600,2013-10-31T00:00:00,0.313898972142857,0.0349330039602174,0.140237272276786,2.75163838980429,0.306222712715265,1.2293199287783
1383264000,2013-11-01T00:00:00,0.325656666,0.0362414872702158,0.145490130875,2.854706334156,0.317692877410712,1.27536648725025
1383350400,2013-11-02T00:00:00,0.332307299571429,0.0369816190626287,0.148461363002976,2.91300578804314,0.324180872703003,1.30141230808409
1383436800,2013-11-03T00:00:00,0.335555417571429,0.0373430937058321,0.149912489794643,2.94147879043114,0.327349559425325,1.31413288553984
1383523200,2013-11-04T00:00:00,0.340552519714286,0.0378992082663685,0.152144991446429,2.98528338781543,0.332224459662986,1.33370299501939
1383609600,2013-11-05T00:00:00,0.346811564571429,0.0385957611645482,0.154941277690476,3.04015017503314,0.33833044236843,1.35821524023471
1383696000,2013-11-06T00:00:00,0.351317720571429,0.039097239599851,0.156954444607143,3.07965113852914,0.342726402332294,1.37586266142621
1383782400,2013-11-07T00:00:00,0.345621715714286,0.0384633459656233,0.154409701696429,3.02971995995143,0.337169690734654,1.35355544507089
1383868800,2013-11-08T00:00:00,0.337409760857143,0.0375494587694106,0.150740934827381,2.95773396367371,0.329158555572653,1.32139503469682
1383955200,2013-11-09T00:00:00,0.335268659571429,0.0373111811503967,0.149784378002976,2.93896506980314,0.327069813964378,1.31300985757409
1384041600,2013-11-10T00:00:00,0.343136793857143,0.0381868054453284,0.153299539848214,3.00793713495171,0.334745536533749,1.34382376630945
1384128000,2013-11-11T00:00:00,0.355480188428571,0.0395604698715057,0.15881406566369,3.11613933176486,0.346787078893619,1.39216409960791
1384214400,2013-11-12T00:00:00,0.374881190142857,0.0417195571252508,0.167481642818452,3.28620851279229,0.365713637759948,1.46814408094655
1384300800,2013-11-13T00:00:00,0.376513949571429,0.0419012626950237,0.16821109321131,3.30052128194314,0.367306468784578,1.47453844309034
1384387200,2013-11-14T00:00:00,0.389249465142857,0.0433185652521333,0.173900802714286,3.41216081144229,0.3797305430002,1.52441443659343
1384473600,2013-11-15T00:00:00,0.399699115714286,0.0444814798112433,0.178569280863095,3.50376244835143,0.389924652025359,1.56533831604589
1384560000,2013-11-16T00:00:00,0.414720487285714,0.0461531693647656,0.185280217699405,3.63543979154657,0.404578682651535,1.62416638835298
1384646400,2013-11-17T00:00:00,0.423713004428571,0.0471539233169665,0.189297707997024,3.71426819682086,0.413351291796528,1.65938370830191
1384732800,2013-11-18T00:00:00,0.423416088,0.0471208802563144,0.189165057833333,3.711665427408,0.413061636326852,1.658220896967
1384819200,2013-11-19T00:00:00,0.420495149571429,0.0467958165805837,0.187860101544643,3.68606048114314,0.410212128145397,1.64678165014034
1384905600,2013-11-20T00:00:00,0.429519033,0.0478000612055179,0.191891605020833,3.765163843278,0.41901533652757,1.68212180961263
1384992000,2013-11-21T00:00:00,0.428191080428571,0.0476522768017653,0.191298329913691,3.75352301103686,0.417719858444274,1.67692116002341
1385078400,2013-11-22T00:00:00,0.440984379857143,0.0490760099747403,0.197013854889881,3.86566907382771,0.430200303438573,1.7270234519647
1385164800,2013-11-23T00:00:00,0.443855157428571,0.0493954913785404,0.19829640135119,3.89083431001886,0.433000877424285,1.73826625424454
1385251200,2013-11-24T00:00:00,0.444465030857143,0.0494633626135115,0.198568867952381,3.89618046049371,0.433595836670042,1.74065469647057
1385337600,2013-11-25T00:00:00,0.451087211571429,0.0502003279611143,0.201527388502976,3.95423049663514,0.440056074907128,1.76658908761709
1385424000,2013-11-26T00:00:00,0.450308129142857,0.0501136258945965,0.201179326214286,3.94740106006629,0.439296044592033,1.76353797359443
1385510400,2013-11-27T00:00:00,0.453813989142857,0.0505037839777145,0.202745601630952,3.97813342882629,0.442716170348645,1.77726794389693
1385596800,2013-11-28T00:00:00,0.465889727571429,0.0518476616446851,0.20814054958631,4.08398935189114,0.45449660197731,1.82456005767359
1385683200,2013-11-29T00:00:00,0.469346054142857,0.052232307280774,0.209684695485119,4.11428751061629,0.457868405623265,1.83809604062255
1385769600,2013-11-30T00:00:00,0.991778336995886,0.0537182856331424,0.350255274800595,8.69392890210593,0.470894491860126,3.07033773890202
1385856000,2013-12-01T00:00:00,1.57853761108855,0.0562469711136469,0.509543012122355,13.8374606988022,0.493060948782229,4.46665404426456
1385942400,2013-12-02T00:00:00,2.04294266957412,0.0567475235105037,0.633156005881878,17.9084354414867,0.497448791093075,5.55024554756055
