Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,period
2021-01-22,31182.37,581427506988.0663,92.174650910511,0.0534826,252533290.16578355,13506136.944620537,7519348106.109012,77.32419071218314,4.34800685245989,0,Pre-ban
2021-01-27,32005.74,596958683911.1097,94.9942798342439,0.0534826,260258300.9157367,13919290.60455598,7588239552.202599,78.66892970423339,4.365248283370422,0,Pre-ban
2021-01-31,34687.22,647127125578.7273,96.4508848134837,0.0534826,264248999.48899645,14132723.5400702,7644927469.20308,84.64790911171129,4.438500407880833,0,Pre-ban
2021-02-04,37306.25,696153791658.5986,95.5747787225428,0.0534826,261848708.8288844,14004349.754811691,7700283045.199223,90.40626007801347,4.504313513651145,0,Pre-ban
2021-02-09,44714.11,834636235774.3246,105.02621518411,0.0534826,287743055.2989315,15389246.729330633,7774773689.828976,107.3518367314283,4.676111633926238,0,Pre-ban
2021-02-13,47958.37,895406101644.5427,99.8847774973882,0.0534826,273656924.65037864,14635883.83830634,7834396811.196602,114.29164532039846,4.738753473819521,0,Pre-ban
2021-02-17,48588.75,907390301496.746,96.1332123059119,0.0516923,263378663.8518134,13614648.905427093,7890512157.10146,114.99764317327548,4.744911634007812,0,Pre-ban
2021-02-22,57531.19,1074706608541.7614,98.9838098308503,0.0516923,271188520.0845214,14018358.336765105,7960722718.046292,135.001135776968,4.905283191565765,0,Pre-ban
2021-02-26,48037.41,897570198591.0374,103.894274078434,0.0516923,284641846.7902301,14713791.73683461,8019142367.732928,111.92845287329487,4.717859853535433,0,Pre-ban
2021-03-03,47435.16,886577595764.0017,104.100102279518,0.0516923,285205759.66991234,14742941.690585008,8093023327.038809,109.54838012167149,4.696366279274657,0,Pre-ban
2021-03-07,48593.8,908445824582.7538,102.188909067307,0.0516923,279969613.88303286,14472273.2717259,8150539101.738654,111.45837266015523,4.713651181820875,0,Pre-ban
2021-03-11,56912.83,1064216344547.5518,103.797728509806,0.0516923,284377338.3830301,14700118.688897109,8209449830.793825,129.633089486174,4.864708071438909,0,Pre-ban
2021-03-16,56412.5,1055168336425.0676,104.09826536145,0.0516923,285200727.0176712,14742681.541215563,8282763346.946756,127.3932735038277,4.847278943501076,0,Pre-ban
2021-03-20,58426.89,1093100919470.8864,106.084908014613,0.0519387,290643583.60167944,15095649.895612547,8342292423.617619,131.03123985155932,4.875435766920496,0,Pre-ban
2021-03-24,54433.57,1018626988492.524,110.344253998275,0.0519387,302313024.6528082,15701745.49353481,8403758257.66718,121.21088651772892,4.797531892354932,0,Pre-ban
2021-03-29,55989.75,1048051623729.2092,110.665771900084,0.0519387,303193895.61666846,15747496.78626546,8482360393.173872,123.55660160026002,4.816699363627626,0,Pre-ban
2021-04-02,58874.0,1102295612183.3015,109.403526388403,0.0519387,299735688.73535067,15567882.01651876,8544486634.229648,129.0066518177288,4.859863967510788,0,Pre-ban
2021-04-06,58777.69,1100746273642.973,107.827562848309,0.0519387,295417980.40632606,15343625.858930048,8605478230.07723,127.91227218444712,4.851344655384782,0,Pre-ban
2021-04-11,58572.57,1097220489083.5564,112.128917651907,0.0519387,307202514.1148137,15955699.219855076,8683801617.737728,126.3525512653754,4.839076025679222,0,Pre-ban
2021-04-15,62382.46,1168858183187.6196,112.417735505936,0.0519387,307993795.906674,15996797.36745797,8746718858.56281,133.63390342006224,4.895103997023102,0,Pre-ban
2021-04-19,55550.0,1041077048935.8588,93.6373143392946,0.052524,256540587.23094413,13474537.80371811,8804102661.677893,118.24908101849071,4.772793255828024,0,Pre-ban
2021-04-24,50543.35,947516737827.4944,95.4730018775982,0.052524,261569868.15780327,13738695.75512046,8869213184.064196,106.8321076699284,4.671258514958427,0,Pre-ban
2021-04-28,55194.32,1034942599399.431,105.206218040325,0.052524,288236213.8091096,15139318.894109672,8927126586.676353,115.93233156837636,4.753006672343921,0,Pre-ban
2021-05-03,56898.6,1067202717921.0682,108.551760055838,0.052524,297402082.3447616,15620746.97307626,9002317844.663,118.54754923519576,4.775314139460915,0,Pre-ban
2021-05-07,55965.29,1049935541169.0244,111.881886418381,0.052524,306525716.2147425,16099956.718463134,9066006497.614985,115.81014655628512,4.75195218268452,0,Pre-ban
